ethnicLabel,Freebase
Afro-Barbadian,/m/0rpfy72
Afro-Belgians,/m/0zn0g4f
African Americans,/m/0x67
Hispanic and Latino Americans,/m/025rpb0
Turkish Cypriots,/m/03rdlp
Volga Germans,/m/01nxwc
Chinese Argentine,/m/0h1g8f5
Armenians in Istanbul,/m/0h_fbhb
Afro-Colombians,/m/02qmd2b
Banat Swabians,/m/09x38l
Hungarians in Romania,/m/011914sw
Portuguese Venezuelan,/m/064pcd5
Mexican American,/m/01g7zj
Wari,/m/03yxp5
Cape Verdean Argentine,/m/03cgssr
Mountain Jews,/m/02mq_4
American Jews,/m/048z7l
Crimean Karaites,/m/05l_lg
Arab Americans,/m/0150zs
Argyn,/m/03m9vv7
Italian Brazilians,/m/062_25
Chinese of Romania,/m/0261ktx
Irish Americans,/m/033tf_
Iranian American,/m/06y24j
Japanese American,/m/0cn68
Serbs of Croatia,/m/09vmyh
chicano,/m/01qtb
English American,/m/09vc4s
Ottoman Greeks,/m/04jjbj4
Albanian American,/m/0ffhz3
ethnic Chinese in Brunei,/m/0h0z7v
Barzani Kurds,/m/0bph8_
Georgian Jews,/m/01j5gc
Belgo-Turks,/m/03d5qf4
Romaniote Jews,/m/0gj5d
Belarusians in Russia,/m/025z1d7
Belarusian minority in Poland,/m/02prt35
British Pakistanis,/m/03cdk7b
Turks in North Macedonia,/m/027q80p
Albazinians,/m/02w2bkc
Irish Newfoundlanders,/m/05x6kj
Black British,/m/097nms
Hoti,/m/02przsn
Belarusians in Ukraine,/m/0105m6_k
Belarusians in Lithuania,/m/0wf_vpv
Ethnic Chinese in Russia,/m/02qxn15
Uzbek American,/m/0w31gsz
Afghan American,/m/02rmz6k
Africans in Guangzhou,/m/0h52f4q
Afro-Bahamian,/m/09rspjh
Albanian Canadians,/m/0hnfdzh
Basque Uruguayan,/m/0jt2_kg
Baymen,/m/03c1d2f
Belarusian Australians,/m/0j7k03p
Belarusians in the United Kingdom,/m/0bmhs_n
Belgian Australian,/m/0g9yzx0
Afro-Grenadian,/m/0bbx8sp
Chinese people in Pakistan,/m/0117p1yc
Cocolo,/m/0d4cww
ethnic Chinese in Panama,/m/03cv2sp
ethnic Chinese in Belize,/m/0j66wmx
ethnic Chinese in Mozambique,/m/02vplzf
ethnic Chinese in the Dominican Republic,/m/0gx_f33
ethnic Chinese in Mongolia,/m/0118tjlk
